batch_id,submitted_at,status,total,succeeded,errored,expired
msgbatch_01KFrfyinGNqAnx6RuUmZL4Y,2026-03-18T03:07:17Z,ended,5,5,0,0
msgbatch_01YQHcBc4NxnpEUPFC4KwGJq,2026-03-18T03:08:05Z,ended,5,5,0,0
msgbatch_01U1DwAKtySgCnUBSuSWTaXu,2026-03-18T03:13:15Z,ended,15,15,0,0
msgbatch_01R2GVccjRWASXjvFaQH5Gq1,2026-03-18T03:14:50Z,ended,15,15,0,0
msgbatch_01Lf6jqPDNuo5Y2b4gDymXcq,2026-03-18T03:17:46Z,ended,15,15,0,0
msgbatch_01Hbv5UBu3vJp8gXRswKtWQN,2026-03-18T03:22:38Z,ended,58,58,0,0
msgbatch_01PguMTT42CuAK3GA1BFiEod,2026-03-18T03:23:53Z,ended,181,9,172,0
msgbatch_01Esu6LwekCXH8y9rkQfWL9e,2026-03-18T03:23:56Z,ended,190,5,185,0
msgbatch_01UD5ABQXutwJyLfrKDWxMik,2026-03-18T03:24:01Z,ended,187,19,168,0
msgbatch_01PdAR6p8x2LcAUUcBqM52Qx,2026-03-18T03:24:08Z,ended,188,92,96,0
msgbatch_01PgJ8hSVp6DbnyuE8XMJPe3,2026-03-18T04:10:14Z,ended,500,154,346,0
msgbatch_014AJbDU1yHnDvFu9kGxfRp1,2026-03-18T15:39:32Z,ended,500,500,0,0
msgbatch_01NiALYPudySNB4yTfRDmfSs,2026-03-18T16:27:29Z,ended,500,500,0,0
msgbatch_01AiX9ayJAPH7YQozik3XEd7,2026-03-18T17:00:15Z,ended,500,500,0,0
